andpsorts url	profile description
club-basket-corpi-gijon	"Baloncesto,Baloncesto en Gijón."
club-basquet-l-hospitalet	Baloncesto en L'Hospitalet de Llobregat.
club-basquet-mallorca	Baloncesto en Inca.
club-basquet-olesa	"Baloncesto,Baloncesto en Olesa de Montserrat."
club-basquet-salt	"Baloncesto,Baloncesto en Salt."
club-bcn-rugby-subaquatic	"El Club BCN Rugby Subaquatic (club federado) se creó hace más de 5 años con el  objetivo divulgar y motivar a futuros deportistas en esta modalidad en España. Además de los entrenamientos semanales que se realizan en la piscina Picornell, asiste a diferentes campeonatos. Este año han sido campeonas de España en categoría femenina y han tenido la oportunidad de jugar la "" Champions"" en Berlín.

Además de otras actividades, organizan anualmente en agosto el Torneo Abierto Internacional de Rugby Subacuático, que cuenta con la participación de más de 150 deportistas y más de 300 aficionados, y con el apoyo y reconocimiento de empresas o entidades como Antena 3, Colomer o Turismo de Barcelona."
club-beisbol-i-softbol-sant-boi	"El Club de béisbol y softbol Sant Boi fue fundado en el año 1971, hasta el año 1983 se llamó Cinco Rosas, nombre del barrio donde está ubicado el club, fue a partir de ésa fecha cuando cambió su nombre para representar a toda la ciudad.

En los primeros años su terreno de juego era el campo de fútbol que tenia que compartir con todos los equipos del barrio hasta que se trasladó a un descampado donde lentamente lo fue transformando hasta conseguir el estadio que hoy posee.

El palmarés conquistado hasta la actualidad en el club es muy importante, consiguiendo más de 40 campeonatos de Cataluña y 20 de España teniendo en cuenta todas las categorías del club, así como un gran número de torneos en Cataluña y el resto del estado Español además de varios torneos Internacionales. Destacan 3 copas del Rey, 2 campeonatos de la Liga española de béisbol (2003 y 2010), y un sub-campeonato en la Recopa de Europa de béisbol (2007).

Actualmente, contamos con 11 equipos en el club y un total de 140 jugadores:
-3 Equipos alevines mixtos
-1 Equipo extraescolar 
-1 Equipo infantil mixto
-1 Equipo infantil de Softbol
-1 Equipo cadete de softbol
-1 Equipo cadete de beisbol
-1 Equipo juvenil de beisbol
-1 Equipo senior amateur de beisbol
-1 Equipo senior División de Honor "
club-btt-cellecs-bici	"El Club BTT CÉLLECS BICI va néixer l’any 1994, gràcies a la il.lusió d'un grup de Vilanovins i gent d’altres pobles de la rodalia, que en molt bon ambient i esperit aventurer volien fer conèixer l’esport del Mountain Bike, al nostre poble. La nostra voluntat no és pas la de crear un club tancat,  tot al contrari, voldríem que tots vosaltres en forméssiu part i ens ajudéssiu a engrandir i millorar aquest gran club dia a dia.
Una constant durant tots aquest anys han estat les sortides dels Diumenges al matí, concentrats al Centre Cultural davant de qualsevol inclemència meteorològica. Sempre hi ha algú que està disposat a sortir faci fred o calor, amb pluja o vent, sigui hivern o estiu. La constància ha estat sempre la força del nostre club. Una altre standard del nostre club, han estat les sortides ""especials"". Una o dues anuals de cap de setmana (amb la família o només els que pedalem) a indrets més o menys allunyats tals com el Ripollès, el Baix Ebre, el Priorat, la Cerdanya; fins hi tot n’hi ha que han anat a fer el camí de Santiago. La resta de sortides especials solen ser de Diumenge al matí, on pugem les bicis al cotxe o al tren i ens anem lluny a conèixer altres paratges, indrets i sobretot altres cultures gastronòmiques . La freqüència d’aquestes sortides acostuma a ser trimestral.
Actualment som uns trenta cinc socis formant part del club, dels quals,n’hi ha cinc que són bastant jovenets, això significa que la nostra intenció és mimar a la cantera perquè serà el futur de nostre club. Som molts els que ens estimem la bici i no voldríem deixar-nos a ningú sense col·laborar en aquesta tasca tant gratificant."
club-btt-sali	"El Club BTT Salí és un nou projecte esportiu a Cardona, bassat en la creació de nous reptes, sempre buscant les emocions de descubrir nous paratges, el contacte amb la natura i transmetre els nostres coneixements de l’entorn. L’intenció és de promocionar l’esport combinant el turisme amb la bicicleta.

Volem donar a conèixer Cardona com a centre neuràlgic de sortides de btt pels diferents llocs d’interés que ens envolten.

Comptarem amb l’ajuda i assesorament de Sílvia Rovira que amb la seva llarga experiència ens ha dissenyat els diferents circuits carregats d’interés turistic.

Promocionant els antics camins que constituien la xarxa per distribuir la sal arreu de Catalunya, d’aquí el nom del club; Salí.
També organitzem sortides arreu de Catalunya, buscant circuits amb molt interés ja sigui cultural i/o paisatgistic

Et sorpendran.

Si vols ser del club , per sols 8€ l'any.

Tindràs descompte en algunes botigues, també de bici , com Tomàs Domingo, en  Hotels, restaurants i en productes powerbar.

També et tramitem la llicència."
club-c-bikewomen	"Somos un grupo de chicas aficionadas a la MTB y el ciclismo.

Club C BikeWomen se fundó en octubre 2011, después de la I MTB de la Mujer que se organizó en Sitges-Barcelona. Dicho evento fue posible gracias a la organización de la revista BIKE y la colaboración del club ciclista BikeGarraf – Racing Team, entre otros. Durante este evento, nos hemos dado cuenta de que hay muchas mujeres interesadas y practicantes de la BTT, aunque siempre que salimos por las montañas, vemos pocas mujeres en medio de grupos numerosos de hombres. Con la esperanza de fomentar cada vez más la práctica del deporte, más precisamente la BTT, entre las mujeres, hemos creado el Club C BikeWomen. Esperamos con eso proveer un espacio agradable para que todas la integrantes del club, sea cual sea su nivel, encuentre su grupo para poder hacer salidas y a su vez ir evolucionando. Las más experimentadas darán apoyo a las que están iniciándose, creando así un espíritu de grupo y superación.

Hemos empezado con una simple página en Facebook, y ahora ya tenemos nuestro propio Blog, cuenta Twitter, y una pagina web. A través de estos medios de comunicación, compartiremos información de salidas y eventos, ya sean organizados por nosotras o por otras entidades.

BikeWomen es un verdadero grupo de mujeres, gestionado por ellas y unidas por una pasión: la bicicleta y todo lo que la rodea – amistad, naturaleza, libertad, diversión, salud, compañerismo, en definitiva, vida.

Somos un grupo pionero, con espíritu emprendedor, y dedicado a fomentar por toda España la participación de la mujer en el deporte.

***

Som un grup de noies aficionades a la MTB i el ciclisme.

Club C BikeWomen es va fundar a l’octubre 2011, després de la I MTB de la Dona que es va organitzar a Sitges-Barcelona. Aquest esdeveniment va ser possible gràcies a l’organització de la revista BIKE i la col · laboració del club ciclista BikeGarraf – Racing Team, entre altres. Durant aquest esdeveniment, ens hem adonat que hi ha moltes dones interessades i practicants de la BTT, encara que sempre que sortim per les muntanyes, veiem poques dones enmig de grups nombrosos d’homes. Amb l’esperança de fomentar cada vegada més la pràctica de l’esport, més precisament la BTT, entre les dones, hem creat el Club C BikeWomen. Esperem amb això proveir un espai agradable perquè totes les integrants del club, sigui quin sigui el seu nivell, trobi el seu grup per poder fer sortides ia la vegada anar evolucionant. Les més experimentades donaran suport a què estan iniciant, creant així un esperit de grup i superació.

Hem començat amb una simple pàgina a Facebook, i ara ja tenim el nostre propi Blog, compte Twitter, i una pàgina web. A través d’aquests mitjans de comunicació, compartirem informació de sortides i esdeveniments, ja siguin organitzats per nosaltres o per altres entitats.

BikeWomen és un veritable grup de dones, gestionat per elles i unides per una passió: la bicicleta i tot el que l’envolta – amistat, natura, llibertat, diversió, salut, companyerisme, en definitiva, vida.

Som un grup pioner, amb esperit emprenedor, i dedicat a fomentar per tot Espanya la participació de la dona en l’esport."
club-califas-de-orientacion-de-cordoba	Carrera de orientación en Córdoba.
club-centre-excursionista-sords-catalunya	"Som un club d'excursionistes sords de catalunya, fem excursions i altres esports. Les excursions les fem normalment per Catalunya, tot i que a vegades anem a fora de Catalunya.
Es benvingut tothom, poden participar gent sorda i gent oient."
club-ciclista-bayarque	"Ciclismo,Tenis en Bayarque."
club-ciclista-bigues	Ciclismo en La Font del Bou.
club-ciclista-currito-de-santiponce	"Corría el año 1.991 cuando un grupo de amigos decidimos dar forma a nuestras salidas dominicales desde Itálica, que se venían haciendo desde mucho antes, fundando el Club Ciclista Currito de Santiponce, que lleva el nombre de quien ha sido la máxima figura del ciclismo en esta localidad Francisco Moreno Velázquez, Currito de Santiponce.
Desde los comienzos su principal actividad ha sido, precisamente, la misma que hasta este momento: reunirnos un grupo de amigos para echar la mañana del domingo en bicicleta, que es nuestra afición y ponemos en ello toda nuestra ilusión, nuestra pasión y casi siempre, nuestro sacrificio.
Durante este tiempo hemos convivido, reído, pedaleado, viajado, … nos hemos mojado, caído, sufrido, … pero siempre con ganas y entusiasmo, las más veces, aunque también las ha habido que mejor no haber salido a la carretera.
De cualquier modo, aquí estamos después de todos estos años renovándonos, realizando nuevas metas, que nos llevan cada vez más lejos y nos exigen cada vez más esfuerzo.
Como no podía ser de otra manera, también el Club Ciclista Currito de Santiponce se asoma a través de la red al resto del mundo, o mejor, abrimos una ventana para que todo el mundo se pueda asomar a nuestro Club y conocernos.
Saludamos a todo aquel que navegando se encuentre con nuestra página y lo invitamos a compartir ideas y opiniones con nosotros, especialmente a los clubes de nuestro entorno, a los que este saludo se dirige especialmente.
Que las carreteras nos deparen muchos buenos momentos a todos los que practicamos el ciclismo."
club-ciclista-el-viso	"El Club Ciclista el viso está compuesto por 67 socios, procedentes de varias localidades de los Alcores como el Viso del Alcor,Mairena del Alcor y Alcalá de Guadaìra.

&gt;Tiene su sede en el Polideportivo Nero del Viso del Alcor,y lleva mas de 20 años organizando carreras,tanto para Veteranos como juveniles,social entre socios,viajes organizados(Córdoba),subida al puerto del Boyar.

&gt;Si te gusta el ciclismo, de carretera, anìmate a salir con nosotros.
En éste Club hay cabida para todas las edades y todos los niveles.
Todas las semanas hay rutas en bicicleta de carretera,(sábados y domingos)
Si conoces una ruta interesante, anímate a compartirla."
club-ciclista-espinosa	Ciclismo en Espinosa de los Monteros.
club-ciclista-montana-830	"El Club Ciclista Montaña 8:30 de Marchena lo formamos un buen grupo de personas dispuestas a pasarlo bien mientras practicamos este maravilloso deporte de la bicicleta de montaña.

El club se configura como un espacio de convivencia donde lo mismo encuentras gente compitiendo a gran escala que otros cuyos fines se centran en ir creando la cantera juvenil necesaria para el mantenimiento de esta práctica deportiva.

Abrimos este espacio en la red a fin de darnos a conocer también en este medio y con la aspiración de hacer llegar los beneficios de esta sana afición al máximo número de personas.

Quedáis invitados desde este momento todos los que queráis participar de nuestras actividades. Seguro que no os arrepentiréis.


Nuestra mano está tendida,

LA DIRECTIVA"
club-ciclista-riells-i-viabrea	"El nostre club neix l'any 1999, per iniciativa de tres amants d'aquest esport, l'Alfonso Ruiz, en Joaquim Trillo i l'Enric Ortiz. 
Primerament vàrem formar part com a una secció ciclista en el Centre Esportiu Riells i Viabrea. 
El club es dedicà a programar sortides els caps de setmana, tant de mountain bike com de carretera. També vàrem començar a organitzar la Pedalada Popular dins dels actes de la Festa Major de Riells i Viabrea. 
L'any 2004 vàrem fer un gran pas endavant i vàrem realitzar les gestions corresponents per a constituir-nos com a club independent. 
El primer president va ser en Joan Ortoll Delmall. 
També aquest any i per iniciativa d'en Joan Ortoll, va néixer ""La I Marxa Cicloturista Terra de l'Aigua"", que forma part del ""Circuit de Llarga Distància de la FCC"", i del ""Circuito de Cicloturismo de Ciclismo a Fondo. 
L'any 2007, el club fa un relleu en la direcció i va ser elegit com a nou president en Joan Martos Arreondo. 
El club va prendre un nou impuls i va reorganitzar la seva estructura, això va permetre, amb la col·laboració de l'Ajuntament de Riells i Viabrea, organitzar també la Travessa en BTT Terra de l'Aigua. 
A part de les activitats del club i de les organitzacions de les marxes i pedalades, també va començar a col.laborar en altres marxes (Marxa Cicloturista Vila de Pineda, Barcelona-Perpinyà-Barcelona) en tasques de senyalització i logística. 
Aquest mateix any torna a haver-hi relleu en la junta directiva i el nou president és l'Enric Ortiz i León. 
En l'actualitat, la Marxa Cicloturista ha celebrat la 9ª edició, debutant amb força èxit en el calendari de cicloturisme de ""Medio Fondo"" de la Real Federación Española de Ciclismo. L'altre novetat en aquesta edició, és el fer dos recorreguts de diferent dificultat aconsseguint una inscripció consolidada de més de 500 inscrits. 
També la Pedalada Popular ha arribat a la 9ª edició. 
Respecte a la Travessa en BTT, hem celebrat la 4ª edició, amb un nou record d'inscrits de més de 150 bikers. 
Continuem amb les col·laboracions en d'altres marxes i esdeveniments que hi ha al nostre poble. 
El nostre club disposa d'un potencial humà que, de forma altruista, es posa a la nostra disposició per col·laborar en tots els temes que comporta la realització d'aquests esdeveniments. Gent del poble i rodalies ho fan possible. 
També disposem d'uns esponsors fidels, als quals voldríem agrair les seves aportacions, tant econòmiques com materials. 
A tots ells, el nostre agraïment i reconeixement."
club-d-esqui-torello	"Esquí,Esquí en Torelló."
club-de-atletismo-apol-ana	"Atletismo,Correr en Alacant."
club-de-atletismo-de-santa-pola	Atletismo en Santa Pola.
club-de-campo-de-vigo	"Baloncesto,Fútbol,Padel,Tenis en Oia."
club-de-campo-villa-de-madrid	"Natación,Padel,Patinaje,Tenis en Madrid."
club-de-esgrima-azahar	Esgrima en Castellón de la Plana.
club-de-esqui-loma-verde	Esquí en Bilbo.
club-de-esqui-nautico-de-madrid	"El Club de Esquí Náutico de Madrid

Llevamos 16 años compartiendo este gran deporte con miles de personas, enseñando a principiantes y entrenando a nivel de competición.

Quizás nunca hayas esquiado o puede que lo hayas hecho pero quieras mejorar. Nosotros nos adaptamos a tu nivel, te ofrecemos la mayor comodidad, eficacia y te garantizamos total seguridad. 

Muchos nos cuentan que intentaron esquiar en el pasado pero, o bien no lo habían conseguido o sufrieron demasiado por esquiar solo unos metros. Sin embargo al emplear nuestros métodos se dan cuenta de que no es tan difícil ni tan fatigante como lo recordaban y es cuando descubren un deporte lleno de posibilidades, diferentes modalidades y sobre todo se llevan una sensación única de libertad al poder deslizarte sobre el agua.

En nuestro Club de Esquí Náutico disponemos de un embalse de 800 metros de largo de uso exclusivo del que sólo tú disfrutarás durante tu esquiada, lo cual es una gran ventaja ya que podrás esquiar sin que nadie te moleste. Ponemos a tu disposición el mejor y más actualizado material: Barcos Malibú, barra de aprendizaje, esquíes, chalecos, guantes, trajes de neopreno, etc. Solo necesitas traer un bañador y ganas de pasarlo bien!

Además, nuestros monitores son profesionales de reconocido prestigio, con muchos años de experiencia en la enseñanza de este deporte y te enseñarán eficazmente la técnica necesaria para aprender con rapidez disfrutando desde la primera esquiada.

Te damos la bienvenida a nuestro centro, un sitio donde hacer un paréntesis en el día a día, reunirte con amigos, hacer ejercicio, conocer gente y donde siempre encontrarás un ambiente sano y divertido. Conoce las diferentes modalidades y las sensaciones que ofrecen cada una de ellas."
club-de-fitness-martorell	"Aeróbic,Culturismo en Martorell."
club-de-g-ritmica-primavera-lalfas	"El Club de GR Primavera L'Alfàs fue creado en el año 2006 con la intención de adentrarnos en el mundo de la competición. Contamos con un buen equipo técnico y muchas alumnas con diferentes niveles. 
Nuestro objetivo es mejorar y mostrar la belleza de nuestro deporte. "
club-de-golf-villamartin	Otro en Orihuela.
club-de-judo-distrito-de-castellon	Judo en Castellón de la Plana.
club-de-judo-sant-jordi	"Aikido,Judo,Kárate,Kendo en Barcelona."
club-de-mar	Tenis en Almería.
club-de-montana-la-verea	"Club de Montaña de Churriana de la Vega de Granada. Tiene una antiüedad de 20 años, se fundó en el 1991.
Se hace todo tipo de actividades relacionadas con la montaña. Hay que resaltar las secciones que más aceptación tienen: Alpinismo y Expediciones, Espeleología (como sección autónoma), Senderismo, piragüismo, carreras (medias y maratones), esquí de montaña, escalada, et.
Tiene sede propia y un rocódromo propio del club."
club-de-montana-xocainet	Senderismo en Gilet.
club-de-montanismo-akuyak	Montañismo en Madrid.
club-de-montanismo-atlas	Montañismo en Madrid.
club-de-montanismo-cabeza-de-ajo	Montañismo en Madrid.
club-de-natacio-montjuic	"Atletismo,Buceo,Natación,Pesca submarina,Rugby,Submarinismo,Tenis,Tenis de mesa,Vela,Natación,Tenis en Barcelona."
club-de-rugby-tres-cantos	"Nuestro Club se fundó en el año 1999 para ofrecer una alternativa más en la práctica deportiva del municipio madrileño de Tres Cantos. En sus inicios, el Club estaba formado por jugadores y técnicos residentes en nuestra localidad.
En su segunda temporada, el CR. Tres Cantos se fusiona con el equipo de rugby universitario de la facultad de Derecho de la UCM, con lo que consolida definitivamente su estructura de Club, asentándonos en la primera categoría regional de Madrid.
El Ayuntamiento de Tres Cantos encomienda en el año 2002 al Club, la formación de la Escuela Municipal de Rugby.
En el año 2004 se crea el equipo femenino de rugby a 12.
En la temporada 2006-2007 el C.R. Tres Cantos absorbe al Club Autónoma Rugby adquiriendo mayor cantidad de jugadores y por tanto la oportunidad de creación de un segundo equipo masculino que participa en la 3ª categoría regional de Madrid.
En la actualidad, el equipo masculino se nutre de jugadores que comienzan su formación deportiva en la Universidad, fundamentalmente en la ETS de Ingenieros de Telecomunicaciones de la Politécnica de Madrid.
Como mayores logros del club, se encuentran un campeonato y dos subcampeonatos de la segunda categoría regional masculina, como así mismo el subcampeonato de Madrid y la participación por tanto, del equipo femenino en la fase final de la Copa de SM la Reina de España.

RUGBY | ¡APÚNTATE!
El Club de Rubgy Tres Cantos, está organizando equipos de niños y niñas de las siguientes edades y categorías:
JABATOS: Nacidos en 2004 y 2005 - 
PREBENJAMIN: Nacidos en 2002 y 2003 - 
BENJAMIN: Nacidos en 2000 y 2001 - 
ALEVIN: Nacidos en 1998 y 1999 - 
INFANTIL: Nacidos en 1996 y 1997 - 
CADETE: Nacidos en 1994 y 1995 - 
JUVENIL: Nacidos en 1992 y 1993 
Los equipos una vez constituidos se federan para competir en las diferentes competiciones organizadas por la Federación de Rugby de Madrid. 

Infórmate en el club, todos los viernes de 17 a 19 h | Centro Deportivo Gabriel Parellada (TRES CANTOS)
El Rugby es un deporte que entre otras cosas forma a niños potencialmente vulnerables, en los valores del rugby: el esfuerzo compartido, la solidaridad, el respeto por las reglas, la tolerancia y el sentimiento de pertenencia a un equipo."
club-de-senderimo-el-camino	"Inscrito en el Registro Andaluz de Entidades Deportivas con el número 018519 - Afiliado a la FEDME y a la FAM.
"
club-de-tenis-adra	"Tenis,Tenis en Adra."
club-de-tenis-albox	"Tenis,Tenis en Albox."
club-de-tenis-almeria	"Tenis,Tenis en Huércal de Almería."
club-de-tenis-arco-iris	"Tenis,Tenis en Roquetas de Mar."
club-de-tenis-benicarlo	"Pádel,Tenis,Tenis en Benicarló."
club-de-tenis-cabezarrubia	"Baloncesto,Natación,Padel,Tenis en Cáceres."
club-de-tenis-castellon	"Pádel,Tenis,Tenis en Castellón de la Plana."
club-de-tenis-ciudad-de-roquetas	"Tenis,Tenis en Roquetas de Mar."
club-de-tenis-d-aro	"Tenis,Tenis en Platja d'Aro."
club-de-tenis-de-gijon	"Natación,Padel,Tenis en Gijón."
club-de-tenis-el-ejido	"Tenis,Tenis en El Ejido."
club-de-tenis-els-gorchs	"Tenis,Tenis en Bellavista."
club-de-tenis-horta	"Tenis,Tenis en Barcelona."
club-de-tenis-indalo	"Tenis,Tenis en Pechina."
club-de-tenis-la-bastida	"Tenis,Tenis en Toledo."
club-de-tenis-la-moraleja	"Baloncesto,Padel,Tenis,Tenis de mesa en Alcobendas."
club-de-tenis-pamplona	"Baloncesto,Natación,Padel,Tenis,Triatlón en Pamplona."
club-de-tenis-pulpi	"Tenis,Tenis en Pulpí."
club-de-tenis-salou	"Tenis,Tenis en Xalets de Salou."
club-de-tenis-tarrasa	"Tenis,Tenis en Terrassa."
club-de-tenis-turomar	"Tenis,Tenis en Montgat."
club-de-tenis-villafranca	"Tenis,Tenis en Vilafranca del Penedès."
club-de-tennis-l-escala	"Tenis,Tenis de mesa en L'Escala."
club-de-tennis-les-argelagues	"Tenis,Tenis en El Mas Gordi."
club-de-tiro-aguanaces	Club de Tiro Olímpico
club-de-triatlo-bilaire-monover	"Ciclismo,Correr,Natación,Triatlón,Triatlón en Monòver."
club-de-triatlon-de-elche	"Triatlón,Triatlón en Elx."
club-del-parc-d-esports	Tenis en Taradell.
club-dep-val-kungfu-wushu	"Escuela de Kungfu con casi 20 años de historia con sede en Valencia. Clases de Kungfu tradicional. Clases MIERCOLES DE 17:30 A 18:30 PRUEBA SIN COMPROMISO UNA CLASE.


Club Deportivo sin ánimo de lucro, federado y con Instructores titulados oficialmente."
club-deportivo-alcobendas-futsal	"El Club Deportivo Alcobendas Futsal es un club dedicado a la enseñanza del deporte del fútbol sala en la ciudad madrileña de Alcobendas, y que cuenta con la gestión de la Escuela Municipal de Fútbol Sala de este municipio."
club-deportivo-alter-valencia	"El Club Deportivo ALTER VALENCIA tiene como objetivo la promoción del deporte en las personas con discapacidad intelectual. En el año 2010 por primera vez en su historia consiguió el título de CAMPEÓN DE ESPAÑA en la modalidad de FÚtbol Sala. En la actualidad gestiona una Escuela Deportiva de fútbol sala dependiente de la Federación Valenciana de Fútbol Sala, 2 equipos de Fútbol Sala, 2 equipos de Baloncesto y 1 de Tenis Mesa"
club-deportivo-baloncesto-binefar	Baloncesto en Binéfar.
club-deportivo-balonmano-castellon	Balonmano en Castelló de la Plana.
club-deportivo-basico-multiaventura-descolgaos	"Esquí,Snowboard en Villayuso."
club-deportivo-condequinto	"En Junio de 2011 inició la andadura deportiva en la AVV Condequinto con un grupo de niños y niñas ilusionados en formarse como personas practicando un deporte.

Esa ilusión fue contagiándose entre la juventud de nuestro barrio, y de fuera de él, y se constituyó formalmente el Club Deportivo Condequinto el 18 de Septiembre de 2012."
club-deportivo-del-valles	Tenis en L'Ametlla del Vallès.
club-deportivo-esbardu	"Atletismo,Correr,Jogging,Running en Gijón."
club-deportivo-gorgonia-sub	"Buceo,Pesca submarina,Remo,Submarinismo,Vela en Barcelona."
club-deportivo-ingravito-tagorock-montana	Surf en Las Palmas de Gran Canaria.
club-deportivo-la-sufrida	"Somos el Club Deportivo “LA SUFRIDA”, que nació en Julio de 2006 , y como tal constamos en la sección Deportes de Competición del Registro Andaluz de Entidades Deportivas y nos encontramos dados de alta en la Federación Andaluza de Ciclismo y la Federación Andaluza de Triatlón, como Club Federado. Como Comité Organizador Regional estamos presentes en la Federación Andaluza de Hípica.

Nuestra dirección postal es:

C.D: LA SUFRIDA. Apartado 1101 – 29400 Ronda. Málaga. España .

Y la de correo electrónico es :

lasufrida@ronda.net

Nuestro twitter

@CDLaSufrida

Nuestro objetivo es la práctica del Ciclismo/Duatlón/Ultra-Carrera y Raid a Caballo , con una gran vocación de organización de eventos deportivos con fines solidarios.

Hemos organizado en la zona de la Serranía de Ronda la “ 9ª, 10ª, 11ª ,12ª, 13ª ,14ª y 15ª CICLO-RUTA INTERNACIONAL GRAN FONDO. “SERRANIA DE RONDA.LASUFRIDA” , prueba reflejada en el Calendario Anual de la UNION CICLISTA INTERNACIONAL ( UCI). Colaboramos en la organización del “3º, 4º, 5º ,6º, 7º,8º y 9ª HOMENAJE A LOS 101KM DE LA LEGIÓN” .

También hemos organizado, en la citada Serranía, la 1ª edición de los” 102 KM MTB-LA PROHIBIDA” , la 1ª edición de “ A MI LA SUFRIDA POR ANDEX” y dos ediciones delDUATLON CROSS “LA LEGIONARIA” .

En la zona del Aljarafe sevillano , en el 2010,2011 y 2012, organizamos la 2º,3ª y 4ª edición de “ A MI LA SUFRIDA POR ANDEX” ”LA VALIENTE”

Actualmente estamos organizando la 5ª edición de “A MI LA SUFRIDA POR ANDEX-LA VALIENTE” y de la 16ª CICLO-RUTA INTERNACIONAL GRAN FONDO. “SERRANIA DE RONDA.LASUFRIDA”.

No recibimos NINGUNA subvención oficial y todo lo organizamos en base a las cuota de inscripción, a nuestros socios, amigos y amigas voluntarios, y a la contratación de lo que llamaríamos “minijob” por un día.

Todas nuestras pruebas son controladas por jueces de las diferentes Federaciones Deportivas y con todos los permisos gubernativos que aparecen en el Artículo 8 Decreto 195/2007, de 26 de Junio (Boja 12/07/2007)

Solemos colaborar con ANDEX ( Asociación de Padres de Niños con Cáncer de Andalucía) organizando pruebas deportivas.
Leer la Carta de la Presidenta de ANDEX"
club-deportivo-la-zubia	Triatlón en La Zubia.
club-deportivo-lledo	"Somos un club deportivo de gimnasia rítmica, con sede en las instalaciones del colegio Agora Lledó International School. Formado por grandes deportista y mejores personas que creen que el esfuerzo ya es una recompensa....
Formamos gimnastas desde los 4 años, acompañandolas en su camino hacia la excelencia."
club-deportivo-puerto-rey	"Tenis,Padel,Tenis en Vera."
club-deportivo-roquetas	"Fútbol,Fútbol en Roquetas de Mar."
club-desgrima-sam	"La Sala d’Armes Montjuïc (S.A.M.) és el club d’esgrima més important de Catalunya, tant pel nombre de socis com pels resultats esportius.El club està situat Complex Esportiu Municipal Reina Elisenda, al carrer Duquessa d’Orleans n. 29, en ple barri barceloní de Sarrià. 
Actualment el club som al voltant de 350 associats, i a banda dels resultats esportius al SAM intentem apropar la pràctica d’aquest esport a tothom, des dels 6 fins als 70 anys o més enllà, mitjançant campanyes de promoció a les escoles, cursos d’iniciació per a nens, joves i adults. 


"
club-escuela-de-ciclismo-las-mestas	Ciclismo en Gijón.
club-esport-ciclista-bicisprint	"Un equip de primera 

Bicisprint va ser fundat el 1993, i des de llavors compta amb varies seccions: Carretera, BTT, Escola de Ciclisme, Ciclisme adaptat, Trial, Triatló.

El Club Esport Ciclista Bicisprint organitza varis events

- Ciclocròs Ciutat de Sabadell
- Open Infantil de BTT.
- Ginkana infantil de Festa Major.
- Cursa Infantil de Festa Major.
- Cursa de Biketrial de l'Autonomia Catalana.
- Dia de Sabadell Ciclista.

Des de l'any 1994, estem presents en competició, s'han aconseguit varis títols:

- Campions del Món (Trial i Biketrial).
- Subcampionats del Món (Trial y Biketrial)
- Campions d'Espanya (Btt, Ctra, Trial, Biketrial)
- Subcampions d'Espanya (Btt, Ctra, Trial i Biketrial)
- Campions de Catalunya (Btt, Ctra, Trial, Biketrial, Triatló)
- Subcampions de Catalunya (Btt, Ctra, Trial, Biketrial, Triatló)
- Finalistes d'entitats en múltiples edicions de la Festa de l'Esport Sabadellenc.
- Finalistes d'esportistes en múltiples edicions de la Festa de l'Esport Sabadellenc.
- Guanyador com a Esportista de la Festa de l'Esport Sabadellenc."
club-esportiu-de-muntanya-la-cameta-coixa	"Som un club esportiu de muntanya  de Miravet dins la Feec, organitzem una cursa de muntanya que esta dins al circuit de curses de muntanya de les Terres de l'Ebre. Hem fet un mapa a l'editorial Piolet i tenim uns recorreguts marcats per fer a peu, tambe hem obert unes 30 vies d'escalada al poble, tambe dins al mapa les ressenyes. durant l'any organitzem alguna sortida nocturna i alguna ruta de btt, tambe una gimcama a les festes d'agost. I estem obert a participar o organitzar algún projecte d'interes"
club-esportiu-horitzo	"Baloncesto,Natación en Rubí."
club-esportiu-picornell	"Atletismo,Correr,Jogging,Running en Barcelona."
club-esportiu-rocafort	"Aeróbic,Natación,Tenis,Padel,Tenis en Barcelona."
club-esportiu-universitari	"Som un club totalment amateur dedicat a la pràctica de l'atletisme en totes les seves disciplines i categories y estem afiliats a la Federació Catalana. Pels nostres entrenaments fem servir les instal.lacions esportives de la Universitat de Barcelona al final de l'Av. Diagonal. Els entrenaments comencen habitualmente a partir de les 18,00 hores.

També disposem d'una escola d'atletisme per a nens/es a partir dels 6 anys, que funciona de dilluns a divendres de 18 a 19,30 hores, podent escollir-se els dies que més convinguin als nens/es per poder compaginar la pràctica atlètica amb les seves altres activitats. "
club-esqui-granollers	Esquí en Barcelona.
club-esqui-jaca	Esquí en Jaca.
club-esqui-vic	"El Club Esquí Vic, fundat el 1967, és una entitat que pertany a la Federació Catalana d’Esports d’Hivern, i que sense afany de lucre, ara ja més de quaranta anys que es dedica al foment i la pràctica d’esports d’hivern i molt concretament a l’esquí. Una temporada més el nostre Club continua amb la tasca de fomentar la pràctica de l’esquí i snow en totes les seves modalitats la qual cosa seguirà marcant una continuïtat en la línea que va definir la seva creació."
club-excursionista-trail-tarraco	"El Club Excursionista Trail Tarraco se fundó el 3 de enero de 2012. Somos un club que nos apasionan los deportes de montaña.

Nuestras actividades se centran principalmente en carreras de montaña, senderismo, BTT, orientación, Raids... Cualquier deporte en el entorno natural está dentro de nuestro Club.

Si te gusta disfrutar de la montaña y el trail, no dudes en ponerte en contacto con nosotros."
club-fit-sport	Tenis en Cerdanyola del Vallès.
club-hipica-castellon	Hípica en Castellón de la Plana.
